Day (X1),Tempreture in C (X2),Humidity (X3),Daily cases (Y)
15,11,0.737143,6
16,13,0.737143,6
17,10,0.737143,11
18,14,0.737143,11
19,13,0.744286,11
20,11,0.744286,11
21,12,0.744286,11
22,13,0.744286,11
23,14,0.744286,11
24,15,0.744286,12
25,18,0.744286,12
26,12,0.777143,12
27,11,0.777143,12
28,12,0.777143,12
29,13,0.777143,12
30,11,0.777143,12
31,15,0.777143,12
32,12,0.777143,12
33,12,0.804286,12
34,12,0.804286,14
35,9,0.804286,18
36,14,0.804286,38
37,13,0.804286,57
38,12,0.804286,100
39,9,0.804286,130
40,11,0.765714,191
41,10,0.765714,204
42,13,0.765714,285
43,13,0.765714,377
44,9,0.765714,653
45,12,0.765714,949
46,14,0.765714,1126
47,12,0.767143,1209
48,14,0.767143,1784
49,18,0.767143,2281
50,14,0.767143,2281
51,13,0.767143,3661
52,15,0.767143,4469
53,16,0.767143,4499
54,11,0.705714,6633
55,16,0.705714,7652
56,19,0.705714,9043
57,21,0.705714,10871
58,21,0.705714,12612
59,11,0.705714,14282
60,9,0.705714,16018
61,17,0.74,18830
62,16,0.74,22304
63,14,0.74,25233
64,12,0.74,29155
65,13,0.74,32964
66,15,0.74,37575
67,10,0.74,40174
68,10,0.705714,44550
69,13,0.705714,52128
70,14,0.705714,56989
71,12,0.705714,59105
72,16,0.705714,76460
73,18,0.705714,83019
74,23,0.705714,87719
75,20,0.751429,90452
76,21,0.751429,99180
77,23,0.751429,103061
78,25,0.751429,107696
79,26,0.751429,113927
80,26,0.751429,118178
81,25,0.751429,120633
82,21,0.74,124298
83,16,0.74,130253
84,22,0.74,133644
85,24,0.74,146060
86,23,0.74,147969
87,23,0.74,151793
88,15,0.74,152894
89,17,0.77,155383
